goal_id,user_id,goal_name,goal_category,target_amount,current_savings,deadline_months,monthly_required,priority,status
GOAL00326,USR00621,Home Renovation,property,398000,293000,13,8076.92,Medium,active
GOAL00327,USR00232,Festival Shopping Fund,lifestyle,20000,7000,5,2600.0,Medium,active
GOAL00328,USR00462,Startup Capital,business,1564000,49500,47,32223.4,Medium,active
GOAL00329,USR00881,Home Renovation,property,302000,86500,25,8620.0,Low,active
GOAL00330,USR00313,Home Renovation,property,74000,14500,18,3305.56,Medium,active
GOAL00331,USR00625,Bike Purchase,vehicle,518000,137000,7,54428.57,High,active
GOAL00332,USR00782,International Vacation,travel,327000,8000,9,35444.44,Medium,active
GOAL00333,USR00271,Child Education Fund,education,305000,159500,141,1031.91,High,active
GOAL00334,USR00246,New Car Purchase,vehicle,4834000,3258500,59,26703.39,Medium,active
GOAL00335,USR00161,Emergency Fund,savings,111000,11000,10,10000.0,Medium,active
GOAL00336,USR00706,Home Renovation,property,1071000,399500,35,19185.71,Medium,active
GOAL00337,USR00034,International Vacation,travel,376000,52500,13,24884.62,High,active
GOAL00338,USR00290,Bike Purchase,vehicle,589000,48500,14,38607.14,Low,active
GOAL00339,USR00073,Child Education Fund,education,350000,74500,176,1565.34,High,active
GOAL00340,USR00271,Festival Shopping Fund,lifestyle,5000,500,2,2250.0,Medium,active
GOAL00341,USR00604,Child Education Fund,education,1292000,87500,59,20415.25,Low,active
GOAL00342,USR00203,Retirement Corpus,retirement,5134000,1601500,193,18303.11,High,active
GOAL00343,USR00231,Child Education Fund,education,1373000,448000,150,6166.67,High,active
GOAL00344,USR00273,Medical Insurance Fund,healthcare,60000,50500,16,593.75,High,active
GOAL00345,USR00062,New Car Purchase,vehicle,1615000,469000,35,32742.86,Medium,active
GOAL00346,USR00610,Bike Purchase,vehicle,231000,7500,13,17192.31,Low,active
GOAL00347,USR00944,Wedding Fund,lifestyle,4550000,2340500,26,84980.77,Medium,active
GOAL00348,USR00480,Bike Purchase,vehicle,45000,3000,6,7000.0,Medium,active
GOAL00349,USR00413,Wedding Fund,lifestyle,512000,48500,15,30900.0,Medium,active
GOAL00350,USR00506,Gadget / Laptop,technology,425000,51500,11,33954.55,High,active
GOAL00351,USR00041,Startup Capital,business,1543000,341000,57,21087.72,Medium,active
GOAL00352,USR00331,Home Renovation,property,203000,70500,24,5520.83,High,active
GOAL00353,USR00094,International Vacation,travel,37000,3000,16,2125.0,Low,active
GOAL00354,USR00857,Medical Insurance Fund,healthcare,81000,25000,23,2434.78,Medium,active
GOAL00355,USR00974,Emergency Fund,savings,1035000,360500,9,74944.44,Low,active
GOAL00356,USR00689,Medical Insurance Fund,healthcare,105000,6000,20,4950.0,High,active
GOAL00357,USR00042,Festival Shopping Fund,lifestyle,46000,28000,2,9000.0,Medium,active
GOAL00358,USR00482,Stock Market Portfolio,investment,436000,105000,8,41375.0,Medium,active
GOAL00359,USR00939,Wedding Fund,lifestyle,842000,316000,11,47818.18,High,active
GOAL00360,USR00600,Retirement Corpus,retirement,14387000,5935000,94,89914.89,Medium,active
GOAL00361,USR00504,House Down Payment,property,2984000,350000,76,34657.89,Medium,active
GOAL00362,USR00419,Higher Education,education,2801000,37500,30,92116.67,Medium,active
GOAL00363,USR00108,Medical Insurance Fund,healthcare,129000,55500,19,3868.42,High,active
GOAL00364,USR00422,Bike Purchase,vehicle,171000,58000,15,7533.33,Medium,active
GOAL00365,USR00679,Retirement Corpus,retirement,21472000,9266500,157,77742.04,Low,active
GOAL00366,USR00564,Emergency Fund,savings,897000,228500,6,111416.67,Medium,active
GOAL00367,USR00323,Wedding Fund,lifestyle,567000,97500,22,21340.91,Medium,active
GOAL00368,USR00994,Festival Shopping Fund,lifestyle,8000,4500,1,3500.0,Medium,active
GOAL00369,USR00527,Medical Insurance Fund,healthcare,128000,18000,19,5789.47,Low,active
GOAL00370,USR00674,Medical Insurance Fund,healthcare,41000,22500,13,1423.08,Medium,active
GOAL00371,USR00424,Emergency Fund,savings,172000,35000,13,10538.46,High,active
GOAL00372,USR00371,Home Renovation,property,485000,78500,31,13112.9,Medium,active
GOAL00373,USR00641,Gadget / Laptop,technology,35000,9500,6,4250.0,Medium,active
GOAL00374,USR00209,Wedding Fund,lifestyle,1671000,89500,26,60826.92,Medium,active
GOAL00375,USR00950,Wedding Fund,lifestyle,3194000,972000,18,123444.44,Medium,active
GOAL00376,USR00716,Gadget / Laptop,technology,81000,31000,4,12500.0,High,active
GOAL00377,USR00997,Child Education Fund,education,3182000,188500,88,34017.05,Medium,active
GOAL00378,USR00246,Bike Purchase,vehicle,526000,144000,13,29384.62,High,active
GOAL00379,USR00565,Emergency Fund,savings,273000,23000,10,25000.0,Medium,active
GOAL00380,USR00096,International Vacation,travel,230000,19500,3,70166.67,Low,active
GOAL00381,USR00935,House Down Payment,property,3169000,1134500,55,36990.91,Medium,active
GOAL00382,USR00121,Child Education Fund,education,1841000,693000,37,31027.03,Low,active
GOAL00383,USR00511,Startup Capital,business,2043000,649000,47,29659.57,Medium,active
GOAL00384,USR00522,Bike Purchase,vehicle,409000,30500,15,25233.33,High,active
GOAL00385,USR00855,Gadget / Laptop,technology,17000,9000,4,2000.0,Low,active
GOAL00386,USR00250,Gadget / Laptop,technology,24000,3000,8,2625.0,Medium,active
GOAL00387,USR00393,International Vacation,travel,174000,68000,9,11777.78,Low,active
GOAL00388,USR00521,Bike Purchase,vehicle,666000,297500,6,61416.67,Low,active
GOAL00389,USR00885,House Down Payment,property,4224000,1783000,59,41372.88,High,active
GOAL00390,USR00809,Medical Insurance Fund,healthcare,88000,33000,13,4230.77,Medium,active
GOAL00391,USR00957,Festival Shopping Fund,lifestyle,84000,26000,1,58000.0,Medium,active
GOAL00392,USR00841,Emergency Fund,savings,38000,7500,8,3812.5,High,active
GOAL00393,USR00306,Medical Insurance Fund,healthcare,77000,35500,10,4150.0,Medium,active
GOAL00394,USR00676,Gadget / Laptop,technology,15000,2000,7,1857.14,Low,active
GOAL00395,USR00458,Stock Market Portfolio,investment,257000,133500,9,13722.22,Medium,active
GOAL00396,USR00341,Stock Market Portfolio,investment,381000,126500,23,11065.22,Medium,active
GOAL00397,USR00387,Gadget / Laptop,technology,28000,9000,10,1900.0,Low,active
GOAL00398,USR00891,International Vacation,travel,96000,29500,4,16625.0,Low,active
GOAL00399,USR00245,Home Renovation,property,78000,68500,9,1055.56,Medium,active
GOAL00400,USR00877,Festival Shopping Fund,lifestyle,57000,9000,4,12000.0,Medium,active
GOAL00401,USR00326,Bike Purchase,vehicle,130000,85000,10,4500.0,Medium,active
GOAL00402,USR00936,Festival Shopping Fund,lifestyle,24000,8000,2,8000.0,Medium,active
GOAL00403,USR00680,Festival Shopping Fund,lifestyle,88000,51000,2,18500.0,Low,active
GOAL00404,USR00156,Gadget / Laptop,technology,27000,3500,7,3357.14,Low,active
GOAL00405,USR00130,Stock Market Portfolio,investment,212000,67500,19,7605.26,Low,active
GOAL00406,USR00340,Medical Insurance Fund,healthcare,176000,54500,14,8678.57,High,active
GOAL00407,USR00866,Gadget / Laptop,technology,84000,11500,1,72500.0,High,active
GOAL00408,USR00933,Gadget / Laptop,technology,49000,2500,1,46500.0,High,active
GOAL00409,USR00148,Retirement Corpus,retirement,12023000,3940000,208,38860.58,Low,active
GOAL00410,USR00994,New Car Purchase,vehicle,254000,14500,54,4435.19,High,active
GOAL00411,USR00801,Wedding Fund,lifestyle,1504000,690000,24,33916.67,Medium,active
GOAL00412,USR00710,Retirement Corpus,retirement,13067000,239500,72,178159.72,Medium,active
GOAL00413,USR00873,Higher Education,education,1761000,954000,22,36681.82,Low,active
GOAL00414,USR00880,Stock Market Portfolio,investment,208000,66000,23,6173.91,Medium,active
GOAL00415,USR00325,Child Education Fund,education,1459000,443500,120,8462.5,Medium,active
GOAL00416,USR00778,Gadget / Laptop,technology,104000,92500,11,1045.45,Low,active
GOAL00417,USR00037,Home Renovation,property,546000,169500,15,25100.0,High,active
GOAL00418,USR00647,Child Education Fund,education,387000,164000,152,1467.11,Low,active
GOAL00419,USR00233,Bike Purchase,vehicle,381000,90000,17,17117.65,High,active
GOAL00420,USR00101,Festival Shopping Fund,lifestyle,18000,6500,2,5750.0,Medium,active
GOAL00421,USR00894,House Down Payment,property,6224000,1301500,97,50747.42,Medium,active
GOAL00422,USR00711,Wedding Fund,lifestyle,679000,198000,18,26722.22,Low,active
GOAL00423,USR00048,Higher Education,education,1912000,185000,45,38377.78,Medium,active
GOAL00424,USR00301,Higher Education,education,411000,220500,36,5291.67,Medium,active
GOAL00425,USR00150,International Vacation,travel,93000,40000,15,3533.33,Medium,active
GOAL00426,USR00580,Child Education Fund,education,3810000,1642500,160,13546.88,Medium,active
GOAL00427,USR00175,New Car Purchase,vehicle,2743000,864000,24,78291.67,High,active
GOAL00428,USR00892,Retirement Corpus,retirement,20716000,8589500,73,166116.44,Medium,active
GOAL00429,USR00247,Gadget / Laptop,technology,48000,17000,6,5166.67,Low,active
GOAL00430,USR00147,International Vacation,travel,372000,34000,4,84500.0,Medium,active
GOAL00431,USR00261,Gadget / Laptop,technology,166000,13500,6,25416.67,High,active
GOAL00432,USR00010,Startup Capital,business,460000,73500,56,6901.79,Low,active
GOAL00433,USR00923,Wedding Fund,lifestyle,879000,808500,28,2517.86,Medium,active
GOAL00434,USR00162,House Down Payment,property,10097000,3543000,97,67567.01,Medium,active
GOAL00435,USR00354,Home Renovation,property,272000,195500,20,3825.0,High,active
GOAL00436,USR00986,Retirement Corpus,retirement,6306000,1379500,156,31580.13,Medium,active
GOAL00437,USR00468,Medical Insurance Fund,healthcare,129000,14500,10,11450.0,Medium,active
GOAL00438,USR00394,Medical Insurance Fund,healthcare,98000,18500,13,6115.38,Medium,active
GOAL00439,USR00243,Retirement Corpus,retirement,32737000,4140500,344,83129.36,Medium,active
GOAL00440,USR00589,Wedding Fund,lifestyle,864000,85500,22,35386.36,Low,active
GOAL00441,USR00303,Emergency Fund,savings,746000,487500,22,11750.0,Low,active
GOAL00442,USR00675,Retirement Corpus,retirement,25305000,368500,308,80962.66,High,active
GOAL00443,USR00580,Medical Insurance Fund,healthcare,251000,142500,10,10850.0,Medium,active
GOAL00444,USR00763,Emergency Fund,savings,76000,36000,9,4444.44,Low,active
GOAL00445,USR00764,Gadget / Laptop,technology,202000,76000,10,12600.0,Low,active
GOAL00446,USR00925,Wedding Fund,lifestyle,454000,39000,34,12205.88,Medium,active
GOAL00447,USR00236,Home Renovation,property,327000,176000,24,6291.67,Low,active
GOAL00448,USR00225,Child Education Fund,education,4209000,614500,130,27650.0,High,active
GOAL00449,USR00257,Child Education Fund,education,3354000,237000,160,19481.25,Medium,active
GOAL00450,USR00786,Child Education Fund,education,2213000,482000,42,41214.29,Medium,active
GOAL00451,USR00141,Child Education Fund,education,5376000,995500,144,30420.14,High,active
GOAL00452,USR00643,Child Education Fund,education,9940000,2832000,121,58743.8,High,active
GOAL00453,USR00808,Gadget / Laptop,technology,35000,5000,1,30000.0,High,active
GOAL00454,USR00374,Bike Purchase,vehicle,278000,51500,17,13323.53,High,active
GOAL00455,USR00932,Wedding Fund,lifestyle,1823000,650000,32,36656.25,Medium,active
GOAL00456,USR00426,New Car Purchase,vehicle,803000,742500,30,2016.67,High,active
GOAL00457,USR00806,Stock Market Portfolio,investment,1310000,382000,35,26514.29,Low,active
GOAL00458,USR00375,Stock Market Portfolio,investment,1608000,731500,6,146083.33,Medium,active
GOAL00459,USR00280,Medical Insurance Fund,healthcare,115000,37500,18,4305.56,High,active
GOAL00460,USR00936,Medical Insurance Fund,healthcare,83000,68500,5,2900.0,Low,active
GOAL00461,USR00991,Festival Shopping Fund,lifestyle,48000,35000,5,2600.0,High,active
GOAL00462,USR00892,Higher Education,education,1258000,231000,16,64187.5,Low,active
GOAL00463,USR00480,House Down Payment,property,1385000,523000,32,26937.5,High,active
GOAL00464,USR00990,International Vacation,travel,63000,6500,9,6277.78,Low,active
GOAL00465,USR00742,Child Education Fund,education,2618000,648000,92,21413.04,Low,active
GOAL00466,USR00991,Medical Insurance Fund,healthcare,68000,39500,11,2590.91,Low,active
GOAL00467,USR00375,House Down Payment,property,10886000,1716500,112,81870.54,Medium,active
GOAL00468,USR00015,Wedding Fund,lifestyle,835000,188500,30,21550.0,Medium,active
GOAL00469,USR00466,Higher Education,education,4088000,2765000,44,30068.18,Medium,active
GOAL00470,USR00689,Wedding Fund,lifestyle,488000,196000,23,12695.65,Medium,active
GOAL00471,USR00843,Child Education Fund,education,3679000,248000,52,65980.77,Low,active
GOAL00472,USR00111,Child Education Fund,education,1572000,370000,90,13355.56,High,active
GOAL00473,USR00026,Home Renovation,property,752000,377000,16,23437.5,Low,active
GOAL00474,USR00575,Higher Education,education,172000,99500,38,1907.89,Low,active
GOAL00475,USR00227,Child Education Fund,education,359000,114500,87,2810.34,High,active
GOAL00476,USR00844,Gadget / Laptop,technology,241000,165000,7,10857.14,Low,active
GOAL00477,USR00310,Child Education Fund,education,162000,11000,139,1086.33,Medium,active
GOAL00478,USR00144,Emergency Fund,savings,227000,25500,16,12593.75,Low,active
GOAL00479,USR00312,Gadget / Laptop,technology,163000,25500,1,137500.0,High,active
GOAL00480,USR00241,Startup Capital,business,1082000,738500,28,12267.86,Medium,active
GOAL00481,USR00398,Gadget / Laptop,technology,58000,10500,2,23750.0,Medium,active
GOAL00482,USR00973,Bike Purchase,vehicle,78000,43500,17,2029.41,Medium,active
GOAL00483,USR00554,Retirement Corpus,retirement,1440000,627500,261,3113.03,Medium,active
GOAL00484,USR00745,New Car Purchase,vehicle,2747000,1530000,37,32891.89,Low,active
GOAL00485,USR00671,House Down Payment,property,4113000,1927500,52,42028.85,Low,active
GOAL00486,USR00631,Retirement Corpus,retirement,32057000,12285000,134,147552.24,Low,active
GOAL00487,USR00287,Emergency Fund,savings,1102000,319000,18,43500.0,Medium,active
GOAL00488,USR00223,Gadget / Laptop,technology,29000,9500,5,3900.0,Medium,active
GOAL00489,USR00242,Medical Insurance Fund,healthcare,49000,17000,14,2285.71,Medium,active
GOAL00490,USR00703,Higher Education,education,2327000,47000,21,108571.43,Medium,active
GOAL00491,USR00661,Higher Education,education,107000,22000,29,2931.03,High,active
GOAL00492,USR00283,International Vacation,travel,69000,10000,14,4214.29,Low,active
GOAL00493,USR00972,Medical Insurance Fund,healthcare,150000,70500,14,5678.57,Low,active
GOAL00494,USR00094,Child Education Fund,education,379000,164500,129,1662.79,High,active
GOAL00495,USR00655,Home Renovation,property,555000,205500,30,11650.0,Low,active
GOAL00496,USR00052,Festival Shopping Fund,lifestyle,9000,500,5,1700.0,Medium,active
GOAL00497,USR00129,Festival Shopping Fund,lifestyle,20000,1000,3,6333.33,Medium,active
GOAL00498,USR00071,Medical Insurance Fund,healthcare,39000,11500,5,5500.0,Medium,active
GOAL00499,USR00213,Home Renovation,property,764000,470000,27,10888.89,High,active
GOAL00500,USR00891,International Vacation,travel,203000,28500,4,43625.0,Medium,active
GOAL00501,USR00152,Festival Shopping Fund,lifestyle,85000,1500,4,20875.0,Low,active
GOAL00502,USR00003,Wedding Fund,lifestyle,965000,420000,9,60555.56,Low,active
GOAL00503,USR00149,New Car Purchase,vehicle,1514000,801500,34,20955.88,Medium,active
GOAL00504,USR00818,New Car Purchase,vehicle,509000,286500,38,5855.26,High,active
GOAL00505,USR00888,Emergency Fund,savings,1524000,769000,7,107857.14,High,active
GOAL00506,USR00367,Festival Shopping Fund,lifestyle,85000,31500,3,17833.33,Medium,active
GOAL00507,USR00603,Higher Education,education,775000,603000,29,5931.03,High,active
GOAL00508,USR00272,Emergency Fund,savings,486000,246000,10,24000.0,High,active
GOAL00509,USR00432,Stock Market Portfolio,investment,582000,227500,8,44312.5,High,active
GOAL00510,USR00066,Gadget / Laptop,technology,136000,48000,9,9777.78,Medium,active
GOAL00511,USR00371,Stock Market Portfolio,investment,1135000,381500,6,125583.33,Medium,active
GOAL00512,USR00463,Stock Market Portfolio,investment,1747000,1139500,19,31973.68,High,active
GOAL00513,USR00630,Emergency Fund,savings,528000,39000,19,25736.84,Medium,active
GOAL00514,USR00931,Medical Insurance Fund,healthcare,72000,16000,16,3500.0,Medium,active
GOAL00515,USR00309,Gadget / Laptop,technology,9000,6000,4,750.0,Medium,active
GOAL00516,USR00032,Emergency Fund,savings,116000,15000,15,6733.33,Low,active
GOAL00517,USR00868,Retirement Corpus,retirement,10746000,6273000,253,17679.84,Medium,active
GOAL00518,USR00111,Gadget / Laptop,technology,58000,18500,7,5642.86,Medium,active
GOAL00519,USR00455,House Down Payment,property,16961000,3569500,70,191307.14,Low,active
GOAL00520,USR00330,Home Renovation,property,1035000,175500,17,50558.82,High,active
GOAL00521,USR00130,Wedding Fund,lifestyle,1089000,578500,15,34033.33,Medium,active
GOAL00522,USR00600,Stock Market Portfolio,investment,1408000,477000,10,93100.0,Medium,active
GOAL00523,USR00391,Home Renovation,property,132000,38000,13,7230.77,Medium,active
GOAL00524,USR00465,Stock Market Portfolio,investment,865000,432500,26,16634.62,Medium,active
GOAL00525,USR00102,Festival Shopping Fund,lifestyle,50000,8000,4,10500.0,Medium,active
GOAL00526,USR00874,Child Education Fund,education,1298000,169000,37,30513.51,Medium,active
GOAL00527,USR00788,Stock Market Portfolio,investment,472000,115500,6,59416.67,Medium,active
GOAL00528,USR00221,Retirement Corpus,retirement,32006000,6335500,347,73978.39,Medium,active
GOAL00529,USR00234,Retirement Corpus,retirement,21585000,7343500,264,53945.08,Medium,active
GOAL00530,USR00465,Retirement Corpus,retirement,16307000,3249000,334,39095.81,Medium,active
GOAL00531,USR00098,Higher Education,education,1392000,187000,21,57380.95,Medium,active
GOAL00532,USR00682,Wedding Fund,lifestyle,209000,43000,20,8300.0,Medium,active
GOAL00533,USR00157,Child Education Fund,education,1530000,625000,153,5915.03,Low,active
GOAL00534,USR00069,House Down Payment,property,1155000,388000,50,15340.0,Low,active
GOAL00535,USR00096,Retirement Corpus,retirement,18886000,13044000,102,57274.51,High,active
GOAL00536,USR00757,Higher Education,education,397000,131500,23,11543.48,Low,active
GOAL00537,USR00570,Emergency Fund,savings,160000,109000,11,4636.36,Medium,active
GOAL00538,USR00576,Stock Market Portfolio,investment,257000,84000,28,6178.57,Medium,active
GOAL00539,USR00126,Retirement Corpus,retirement,24054000,15520500,218,39144.5,Medium,active
GOAL00540,USR00682,Festival Shopping Fund,lifestyle,5000,3000,2,1000.0,Medium,active
GOAL00541,USR00938,Bike Purchase,vehicle,320000,179000,9,15666.67,High,active
GOAL00542,USR00295,Home Renovation,property,1688000,405500,10,128250.0,Medium,active
GOAL00543,USR00107,Home Renovation,property,85000,32000,15,3533.33,Medium,active
GOAL00544,USR00159,Child Education Fund,education,1455000,321500,52,21798.08,Medium,active
GOAL00545,USR00868,House Down Payment,property,5514000,2659500,70,40778.57,Medium,active
GOAL00546,USR00570,Higher Education,education,511000,161500,15,23300.0,High,active
GOAL00547,USR00286,Home Renovation,property,204000,73500,10,13050.0,High,active
GOAL00548,USR00440,Medical Insurance Fund,healthcare,57000,41500,8,1937.5,Medium,active
GOAL00549,USR00786,Medical Insurance Fund,healthcare,305000,23500,14,20107.14,Medium,active
GOAL00550,USR00692,Child Education Fund,education,2905000,272500,136,19356.62,Medium,active
GOAL00551,USR00624,Startup Capital,business,1399000,832000,51,11117.65,Medium,active
GOAL00552,USR00711,Wedding Fund,lifestyle,2171000,1508000,28,23678.57,High,active
GOAL00553,USR00280,Bike Purchase,vehicle,188000,110000,5,15600.0,Medium,active
GOAL00554,USR00944,Higher Education,education,3148000,1151500,18,110916.67,Medium,active
GOAL00555,USR00186,Medical Insurance Fund,healthcare,43000,12500,8,3812.5,High,active
GOAL00556,USR00674,Retirement Corpus,retirement,2067000,266500,150,12003.33,High,active
GOAL00557,USR00759,Child Education Fund,education,1512000,517000,167,5958.08,Low,active
GOAL00558,USR00094,Bike Purchase,vehicle,44000,20500,7,3357.14,Medium,active
GOAL00559,USR00386,Retirement Corpus,retirement,24191000,5371000,221,85158.37,Medium,active
GOAL00560,USR00162,Higher Education,education,651000,143500,15,33833.33,Medium,active
GOAL00561,USR00333,Festival Shopping Fund,lifestyle,54000,39500,1,14500.0,Low,active
GOAL00562,USR00611,House Down Payment,property,3683000,1437500,30,74850.0,Low,active
GOAL00563,USR00160,New Car Purchase,vehicle,473000,70000,31,13000.0,Medium,active
GOAL00564,USR00051,Child Education Fund,education,2372000,225500,53,40500.0,High,active
GOAL00565,USR00454,Child Education Fund,education,6772000,1801000,34,146205.88,Medium,active
GOAL00566,USR00622,Gadget / Laptop,technology,180000,24500,8,19437.5,Medium,active
GOAL00567,USR00221,Festival Shopping Fund,lifestyle,56000,27500,1,28500.0,Medium,active
GOAL00568,USR00354,Retirement Corpus,retirement,3065000,233000,320,8850.0,High,active
GOAL00569,USR00695,Child Education Fund,education,3831000,1788000,46,44413.04,Medium,active
GOAL00570,USR00540,Child Education Fund,education,3621000,301500,158,21009.49,Medium,active
GOAL00571,USR00226,Retirement Corpus,retirement,3210000,1141500,229,9032.75,Low,active
GOAL00572,USR00057,Emergency Fund,savings,326000,139000,8,23375.0,High,active
GOAL00573,USR00969,International Vacation,travel,163000,75000,17,5176.47,Medium,active
GOAL00574,USR00783,Wedding Fund,lifestyle,85000,62000,8,2875.0,High,active
GOAL00575,USR00123,Emergency Fund,savings,135000,34000,15,6733.33,Medium,active
GOAL00576,USR00441,New Car Purchase,vehicle,2481000,1200000,50,25620.0,High,active
GOAL00577,USR00546,Bike Purchase,vehicle,142000,9500,4,33125.0,High,active
GOAL00578,USR00573,Medical Insurance Fund,healthcare,61000,23500,13,2884.62,Medium,active
GOAL00579,USR00363,House Down Payment,property,3081000,214500,99,28954.55,Medium,active
GOAL00580,USR00760,Emergency Fund,savings,266000,90000,11,16000.0,Medium,active
GOAL00581,USR00471,Startup Capital,business,7138000,1361000,44,131295.45,High,active
GOAL00582,USR00321,Home Renovation,property,164000,19500,7,20642.86,Medium,active
GOAL00583,USR00415,Bike Purchase,vehicle,67000,19500,3,15833.33,Medium,active
GOAL00584,USR00297,House Down Payment,property,12797000,643500,45,270077.78,Medium,active
GOAL00585,USR00990,Higher Education,education,496000,99500,18,22027.78,High,active
GOAL00586,USR00971,Home Renovation,property,514000,232500,20,14075.0,Medium,active
GOAL00587,USR00707,Startup Capital,business,9435000,907000,18,473777.78,Medium,active
GOAL00588,USR00448,Medical Insurance Fund,healthcare,83000,41000,11,3818.18,High,active
GOAL00589,USR00447,Home Renovation,property,658000,332000,31,10516.13,Medium,active
GOAL00590,USR00081,Retirement Corpus,retirement,8732000,1860000,203,33852.22,Low,active
GOAL00591,USR00764,Higher Education,education,1890000,744500,23,49804.35,High,active
GOAL00592,USR00798,New Car Purchase,vehicle,816000,270500,15,36366.67,High,active
GOAL00593,USR00649,House Down Payment,property,777000,419000,55,6509.09,Medium,active
GOAL00594,USR00199,Startup Capital,business,832000,288500,12,45291.67,Medium,active
GOAL00595,USR00360,Bike Purchase,vehicle,375000,74500,10,30050.0,Low,active
GOAL00596,USR00661,Medical Insurance Fund,healthcare,24000,6500,8,2187.5,High,active
GOAL00597,USR00106,New Car Purchase,vehicle,718000,108000,29,21034.48,High,active
GOAL00598,USR00178,Home Renovation,property,276000,110000,10,16600.0,High,active
GOAL00599,USR00778,Child Education Fund,education,3480000,556500,70,41764.29,High,active
GOAL00600,USR00975,Festival Shopping Fund,lifestyle,5000,1500,2,1750.0,Medium,active
GOAL00601,USR00476,Festival Shopping Fund,lifestyle,26000,8500,3,5833.33,Medium,active
GOAL00602,USR00594,Gadget / Laptop,technology,5000,2000,8,375.0,Medium,active
GOAL00603,USR00904,Home Renovation,property,419000,174500,25,9780.0,Medium,active
GOAL00604,USR00640,Higher Education,education,96000,15500,44,1829.55,Low,active
GOAL00605,USR00643,Higher Education,education,1742000,932500,43,18825.58,High,active
GOAL00606,USR00070,Gadget / Laptop,technology,130000,65000,2,32500.0,Medium,active
GOAL00607,USR00311,Festival Shopping Fund,lifestyle,64000,22000,3,14000.0,High,active
GOAL00608,USR00058,Higher Education,education,186000,122000,42,1523.81,Medium,active
GOAL00609,USR00318,Gadget / Laptop,technology,9000,3500,6,916.67,Medium,active
GOAL00610,USR00059,Higher Education,education,1917000,663500,30,41783.33,Low,active
GOAL00611,USR00079,Child Education Fund,education,466000,227500,41,5817.07,Low,active
GOAL00612,USR00876,House Down Payment,property,7615000,3947000,62,59161.29,Medium,active
GOAL00613,USR00520,Retirement Corpus,retirement,14865000,2810500,284,42445.42,Medium,active
GOAL00614,USR00568,Festival Shopping Fund,lifestyle,67000,19000,1,48000.0,Medium,active
GOAL00615,USR00043,Gadget / Laptop,technology,65000,26000,2,19500.0,Low,active
GOAL00616,USR00586,Child Education Fund,education,1522000,401500,76,14743.42,High,active
GOAL00617,USR00620,Gadget / Laptop,technology,87000,18500,4,17125.0,Medium,active
GOAL00618,USR00981,Emergency Fund,savings,349000,102000,22,11227.27,Medium,active
GOAL00619,USR00831,Startup Capital,business,1042000,189500,30,28416.67,Low,active
GOAL00620,USR00732,House Down Payment,property,5882000,2717000,52,60865.38,Medium,active
GOAL00621,USR00177,Emergency Fund,savings,366000,119000,9,27444.44,High,active
GOAL00622,USR00449,Gadget / Laptop,technology,82000,41000,11,3727.27,Medium,active
GOAL00623,USR00625,New Car Purchase,vehicle,2046000,555000,41,36365.85,Medium,active
GOAL00624,USR00940,Wedding Fund,lifestyle,639000,145500,20,24675.0,Medium,active
GOAL00625,USR00794,Higher Education,education,1868000,1031000,44,19022.73,Medium,active
GOAL00626,USR00054,Festival Shopping Fund,lifestyle,51000,9500,3,13833.33,Medium,active
GOAL00627,USR00343,House Down Payment,property,12227000,5346000,47,146404.26,Medium,active
GOAL00628,USR00572,Child Education Fund,education,1983000,298500,175,9625.71,Medium,active
GOAL00629,USR00259,Bike Purchase,vehicle,92000,25000,14,4785.71,Low,active
GOAL00630,USR00988,Startup Capital,business,555000,249500,36,8486.11,Medium,active
GOAL00631,USR00154,Higher Education,education,384000,206000,22,8090.91,High,active
GOAL00632,USR00680,New Car Purchase,vehicle,3614000,2520500,50,21870.0,Low,active
GOAL00633,USR00318,Child Education Fund,education,374000,333500,89,455.06,Medium,active
GOAL00634,USR00402,New Car Purchase,vehicle,1875000,61500,35,51814.29,Medium,active
GOAL00635,USR00961,House Down Payment,property,11260000,102500,75,148766.67,Medium,active
GOAL00636,USR00386,Child Education Fund,education,6033000,1857000,168,24857.14,Medium,active
GOAL00637,USR00833,New Car Purchase,vehicle,879000,344000,39,13717.95,Medium,active
GOAL00638,USR00849,Bike Purchase,vehicle,32000,4000,15,1866.67,Low,active
GOAL00639,USR00935,Stock Market Portfolio,investment,933000,270000,10,66300.0,High,active
GOAL00640,USR00687,Retirement Corpus,retirement,36332000,1611000,82,423426.83,Medium,active
GOAL00641,USR00019,Higher Education,education,427000,116500,28,11089.29,Medium,active
GOAL00642,USR00974,International Vacation,travel,1056000,333000,15,48200.0,Medium,active
GOAL00643,USR00785,Gadget / Laptop,technology,13000,2500,11,954.55,High,active
GOAL00644,USR00141,New Car Purchase,vehicle,2475000,1945500,22,24068.18,High,active
GOAL00645,USR00865,Festival Shopping Fund,lifestyle,61000,13500,5,9500.0,High,active
GOAL00646,USR00790,Stock Market Portfolio,investment,2448000,894500,24,64729.17,Low,active
GOAL00647,USR00905,Stock Market Portfolio,investment,2179000,673000,16,94125.0,High,active
GOAL00648,USR00345,Startup Capital,business,3059000,1290500,38,46539.47,Medium,active
GOAL00649,USR00135,Home Renovation,property,326000,16500,23,13456.52,Medium,active
GOAL00650,USR00167,New Car Purchase,vehicle,295000,95000,51,3921.57,Low,active
GOAL00651,USR00790,Home Renovation,property,926000,423000,13,38692.31,Low,active
